ResponsibleDepartment,Reason,Notes
Data Entry,Procedure,"THE MISSING MED PRICE PLAN WAS LEFT IN THE PRIMARY INSURANCE FIELD. IT WAS NOT SWITCHED BACK TO INGENIO. ALSO, AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL TO THE MISSING MED PRICE PLAN AND FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry Misc,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry Misc,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 6 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 6 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry Misc,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry Misc,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 4 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 4 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 7 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 7 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 7 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 7 DAYS SUPPLY EACH MONTH."
Data Entry Misc,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER THE ""MISSING MED"" PRICE PLAN WAS BILLED, THE QTY AND DAYS SUPPLY WERE NOT CHANGED BACK TO REFLECT A 28 DS."
Fulfillment CF,Label Issue,CASSETTE #
Fulfillment CF,Label Issue,"HOA
"
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS FOR UHC PLAN AHCCCS WAS NOT CORRECT
Data Entry Misc,Missed Order,NO TABS HELD BACK FOR EKIT
Data Entry Misc,Procedure,NO TABS HELD BACK FOR EKIT
Data Entry,Triage,HOA
Data Entry,Missed Order,doc not sent to rph review
Billing,Charge Account/Matrix,NO PER DIEM TABLE
Billing,Charge Account/Matrix,NO PER DIEM TABLE INCORRECT INS AND INCORRECT PAYOR
Data Entry,SIG/MULTI-SIG/DIRECTIONS,LOWER EXTREM
Data Entry,SIG/MULTI-SIG/DIRECTIONS,TYPOS
Data Entry,Refill Request,"LEFT IN TRIAGE
"
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX WAS NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS
Billing,Charge Account/Matrix,THE BILLING MATRIX WAS NOT SET UP CORRECTLY FOR UNIVERSITY FAMILY CARE
Billing,Charge Account/Matrix,MISSING PER DIEM TABLE
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX WAS NOT SET UP CORRECTLY FOR UHC
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"Q6H, NOT Q4H"
Data Entry,Date Written,1/23
Data Entry,Date Written,SIGNED 1/23
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE BOTH SET UP INCORRECTLY FOR UHC PLAN AHCCCS.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS
Billing,Charge Account/Matrix,THE BILLING MATRIX FOR TRIBAL RBHA WAS NOT SET UP CORRECTLY
Billing Cash,Charge Account/Matrix,THE BILLING MATRIX WAS NOT CORRECT FOR MERCY CARE. IT SHOULD BE MERCY CARE MED D. PT.'S INS IS ALL WRAPPED UP INTO THE ONE.
Billing,Billing Error,CASH PLAN NOT UPDATED CORRECTLY BILLED PATIENT HIGHER COST
Data Entry,Triage,HOA
Data Entry Misc,Triage - Incorrect # CHG,"MARKED AS #CHG, BUT IT'S A DIFFERENT STRENGTH"
Data Entry Misc,Document Error,"MISC NEEDS DOC USED FOR DAILY MED, NEED MISC DELIVERY/PICK UP"
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS FOR UHC PLAN AHCCCS WERE BOTH SET UP INCORRECTLY
Data Entry,Procedure,"AFTER A 2 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 2 DAYS SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAY SUPPLY EACH MONTH."
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED TO THE MISSING MED PRICE PLAN, THE DAYS SUPPLY WAS NOT CHANGED BACK TO 28. WE DON'T WANT CYCLE FILL TO AUTOMATICALLY BILL FOR A 1 DAY SUPPLY EACH MONTH."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WERE BOTH SET UP INCORRECTLY.
Data Entry Misc,Billing Error,THIS WAS SEND OUT FOR FREE. THE VANCO VIAL RX WAS NOT BILLED (08165386)
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS.
Billing,Billing Error,TRICARE PAYS. RX WAS CASHED OUT (BILLED AS EXTENDED CARE PRICING).
Data Entry,Triage,HOA
Data Entry,Triage,HOA
Medical Records,Other,QUANTITY
Data Entry,Billing Error,BGAL GETS P5 PRICING ON OTCS (NOT EXTENDED CARE PRICING)
Data Entry,Billing Error,HECM GETS P5 PRICING ON OTC'S (NOT EXTENDED CARE PRICING)
Data Entry,Billing Error,VP GETS P5 PRICING ON OTC'S (NOT EXTENDED CARE PRICING)
Pharmacist,Billing Error,s2 GETS P5 PRICING ON OTC'S (NOT EXTENDED CARE). THE BILLING MATRIX EVEN DEFAULTS AS SUCH.
Data Entry,Billing Error,PQB GETS P5 PRICING FOR OTC'S (NOT EXTENDED CARE PRICING)
Billing,Billing Error,ROYM GETS P5 PRICING ON OTC'S (NOT EXTENDED CARE)
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS FOR UHC PLAN AHCCCS WERE NOT SET UP CORRECTLY.
Billing,Charge Account/Matrix,THE BILLING MATRIX WAS NOT SET UP CORRECTLY. (UHC PLAN AHCCCS HAS A LINE OF ITS OWN)
Data Entry,Triage,"QUEUE
"
Data Entry,Wrong Batch,ZONES DONT GO 945 WITHOUT A YT
Fulfillment DLY,Label Issue,NO TAG FOR THE C2 BOOK
Fulfillment DLY,Procedure (FF),NO BACKSTAMP ON A C2 RX
Fulfillment DLY,Drug/Strength (FF),STRENGTH
Fulfillment DLY,Procedure (FF),NO BACK STAMP ON A C2 RX
Fulfillment DLY,Procedure (FF),NO BACKSTAMP ON A C2 RX
Fulfillment DLY,Packaging,1 OR 2 IS PACKAGED ALL SINGLES
Fulfillment DLY,Procedure (FF),NO BACK STAMP ON A C2
Fulfillment DLY,Packaging,NO CART BAG FOR INSULIN
Fulfillment DLY,Label Issue,MISSED SPLIT SIG ON AN INSULIN
Fulfillment DLY,Drug/Strength (FF),WRONG STRENGTH INSULIN
Fulfillment DLY,Quantity,WRONG SIZE ALBUTEROL BOX
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,","
Fulfillment DLY,Label Not Scanned,DUPE FILL
Fulfillment DLY,Label Not Scanned,DUPE FILL
Fulfillment DLY,Label Not Scanned,DUPE FILL
Fulfillment DLY,Label Not Scanned,DUPE FILL
Fulfillment DLY,Label Not Scanned,TRANS VOIDED
Fulfillment DLY,Label Not Scanned,DUPE FILL
Data Entry Misc,Procedure,DIDN'T ADJUST IV TICKLER DATE
Data Entry Misc,Procedure,DIDN'T ADJUST IV TICKLE DATE
Data Entry Misc,Procedure,DIDN'T ADJUST IV TICKLE DATE
Data Entry Misc,Procedure,DIDN'T ADJUST IV TICKLE DATE
Data Entry Misc,Wrong Batch,MIS-BATCHED STAT.  NO SUPPORTING DOCUMENTS.
Fulfillment DLY,Label Issue,STAT BATCH FILLED AS REG RUN AND LEFT IN YELLOW BIN W/ OTHER MEDS.
Fulfillment DLY,Procedure (FF),STAT BATCH FILLED AS REG RUN AND LEFT IN YELLOW BIN W/ OTHER MEDS.
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,TRANSACTION VOIDED
Fulfillment DLY,Label Issue,DUPE FILL
Data Entry,Refills missed/wrong,"
"
Fulfillment PA,Packaging,"
"
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS.
Data Entry,Document Not Associated,VOICEMAIL DOC NOT ASSOCIATED TO PT'S PROFILE
Data Entry CF Auth,Procedure,OTC WAS PLACED ON CYCLE FILL FOR AN AHCCCS PATIENT.
Data Entry,Procedure,MOVED REFILLRESPONSE ERX TO CFA ENTRY TO REFILL INSTEAD OF TREATING LIKE A #CHG
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE BOTH SET UP INCORRECTLY FOR UHC PLAN AHCCCS.
Billing,Charge Account/Matrix,THIS INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR TRIBAL RBHA. OTC'S PAY AS PRIMARY.
Billing,Charge Account/Matrix,THE BILLING MATRIX FOR UNIVERSITY FAMILY CARE WAS NOT SET UP CORRECTLY. UNIVERITY FAMILY WAS ON TWO ACTIVE LINES.
Data Entry Phone Team,Refill Request,PUT IN DAILIES
Data Entry,Procedure,"OTC WAS PLACED ON CYCLE FILL FOR AN AHCCCS PATIENT. "
Data Entry Misc,Document Error,"WAS NOT FAX TO NEW PROVIDER "
Billing,Room Number,WRONG CONVENTION
Data Entry,HOA/FREQUENCY/FILL LIST,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Rx Origin,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"10 UNITS, NOT 100"
Data Entry,Procedure,"AFTER A 1 DAYS SUPPLY WAS BILLED AS MISSING MED, THE PRICE PLAN WAS NOT CHANGED BACK TO PACIFIC AND MERCY CARE. IF NOT CHANGED, THE CYCLE FILL COULD GO OUT EVERY MONTH FOR FREE."
Data Entry,Procedure,"AFTER A 1 DAYS SUPPLY WAS BILLED AS MISSING MED, THE PRICE PLAN WAS NOT CHANGED BACK TO MERCY CARE. IF NOT CHANGED, THE CYCLE FILL COULD GO OUT EVERY MONTH FOR FREE."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS.
Data Entry CF Auth,Procedure,"COMP CUST SERV WAS LEFT IN THE PRIMARY INSURANCE FIELD. IF IT STAYED IN THERE, THIS COULD GO OUT FOR FREE WHEN CYCLE FILL IS BILLED EVERY MONTH."
Billing,New Admit Process,PT ADMIT TO WRONG ADDRESS ROB INPUT 8161 W CATALINA DR; SHOULD HAVE BEEN 8729 W CATALINA DR.
Data Entry,EMAR,START DATE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,TYPO
Data Entry,Billing Error,CYANOCOBALAMIN IS NOT AN OTC. OTC'S GET EXTENDED CARE PRICING. RX'S GET SALIBA'S DISCOUNT.
Billing,Billing Error,OTC'S FOR SSL RECEIVE P5 PRICING.  (NOT EXTENDED CARE)
Billing,Charge Account/Matrix,"THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS. IT APPEARS IT WAS CORRECTED, AND THEN SOMEONE CHANGED IT BACK TO THE INCORRECT SET UP."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS.
Data Entry,Billing Error,"LF 01/29 SHOULD OF BEEN TICKLED "
Billing,Billing Error,HOUSE STOCK NEVER GETS SALIBA'S DISCOUNT PRICING.
Pharmacist,Billing Error,HOUSE STOCK NEVER RECEIVES SALIBA'S DISCOUNT PRICING.
Billing,Charge Account/Matrix,"THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS. IT LOOKS LIKE IT WAS, AND SOMEONE WENT BACK AND CHANGED IT TO THE OLD SET UP."
Billing,Charge Account/Matrix,"THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS. I LOOKS LIKE IT WAS CORRECTED, BUT SOMEONE CHANGED IT.  THIS IS TO BE SET UP LIKE THE WAY WE SET UP UNIVERSITY FAMILY CARE. EVERYONE NEEDS TO BE UPDATED ON THIS."
Billing,Charge Account/Matrix,"THE BILLING MATRIX FOR TRIBAL RBHA WAS NOT SET UP CORRECTLY. IT WAS ENTERED IN AS ""INSURANCE"". IT SHOULD BE ""TRIBAL RBHA"" OR THE MATRIX WILL NOT DEFAULT TO PT.'S INSURANCE PLAN. 8080289 (AN OTC) WAS DEFAULTING AS EXTENDED CARE. TRIABAL PAYS."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY. THIS PLAN IS TO BE SET UP IN THE WAY THAT UNIVERSITY FAMILY CARE IS. RE-EDUCATING IS NEEDED.
Data Entry,Procedure,"AFTER A 1 DAYS SUPPLY WAS BILLED AS MISSING MED, THE PRICE PLAN WAS NOT CHANGED BACK TO PACIFIC AND MERCY CARE. IF NOT CHANGED, THE CYCLE FILL COULD GO OUT EVERY MONTH FOR FREE. I WAS ABLE TO CORRECT THE 1/28 CLAIM, BECAUSE IT DID."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY.  IT IS SUPPOSED TO BE SET UP LIKE WE SET UP UNIVERSITY FAMILY CARE. MORE TRAINING FOR THIS PLAN NEEDS TO TAKE PLACE.
Data Entry,Procedure,"AFTER A 6 DAYS SUPPLY WAS BILLED AS MISSING MED, THE PRICE PLAN WAS NOT CHANGED BACK TO UHC. IF NOT CHANGED, THE CYCLE FILL COULD GO OUT EVERY MONTH FOR FREE."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS. THIS PLAN IS TO BE SET UP EXACTLY HOW WE SET UNIVERSITY FAMILY CARE. TRAINING ON UHC NEEDS TO TAKE PLACE.
Data Entry,Patient,PT ALREADY IN QS1; NOT NEW ADMIT
Pharmacist,Procedure,"DOC TYPE EMAR "
Data Entry,Triage,WRONG PATIENT
Fulfillment CF,Label Issue,QTY
Fulfillment CHG,Label Issue,QTY
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS. IT SHOULD BE SET UP LIKE UNIVERSITY FAMILY CARE. TRAINING NEEDS TO TAKE PLACE.
Data Entry,Procedure,"AFTER A 1 DAY SUPPLY WAS BILLED AS MISSING MED, THE PRICE PLAN WAS NOT CHANGED BACK TO UHC. SINCE IT WAS NOT CHANGED, THE CYCLE FILL WENT OUT EVERY MONTH FOR FREE (THE 12/31 & 1/28 CLAIMS DID. I WAS ABLE TO CORRECT THE 1/28 CLAIM SINCE WE ARE STILL IN THE MONTH OF JANUARY). "
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS FOR UHC PLAN AHCCCS WERE NOT SET UP CORRECTLY.  IT IS SUPPOSED TO BE SET UP LIKE UNIVERSITY FAMILY CARE. MORE TRAINING ON THIS SPECIFIC PLAN NEEDS TO TAKE PLACE.
Data Entry,Procedure,"AFTER THE 1/29 MISSING MED CLAIM WAS PROCESSED, THE PRICE PLAN WAS NOT CHANGED BACK TO AARP AND MERCY CARE. IF NOT CHANGED, THE CYCLE FILL COULD GO OUT EVERY MONTH FOR FREE."
Data Entry,Procedure,"AFTER THE 1/29 CLAIM WAS BILLED AS MISSING MED, THE PRICE PLAN WAS NOT CHANGED BACK TO AARP AND MERCY CARE. IF NOT CHANGED, THE CYCLE FILL COULD GO OUT EVERY MONTH FOR FREE."
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY. UHC IS TO BE SET UP THE WAY WE SET UP UNIVERSITY FAMILY CARE. EVERYONE NEEDS TO BE INFORMED ABOUT THIS.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS. IT IS TO BE SET UP LIKE UNIVERSITY FAMILY CARE. TRAINING NEEDS TO TAKE PLACE FOR ALL REGARDING THIS PLAN.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS FOR UHC PLAN AHCCCS WERE NOT SET UP CORRECTLY. IT IS TO BE SET UP LIKE UNIVERSITY FAMILY CARE. TRAINING ON THIS SPECIFIC PLAN NEEDS TO TAKE PLACE.
Billing,Charge Account/Matrix,THE BILLING MATRIX FOR TRIBAL RBHA WAS NOT SET UP CORRECTLY
Billing,Charge Account/Matrix,"THE INSURANCE PROFILE AND BILLING MATRIX SCREENS FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY. IT APPEARS THAT IT WAS FIXED, AND SOMEONE RECENTLY CHANGED IT. THIS PLAN IS TO BE SET UP LIKE UNIVERSITY FAMILY CARE. TRAINING ON UHC IS DEFINITELY NEEDED."
Data Entry,Procedure,DOC COMPLETED
Billing,Billing Error,"BTHC GETS P5 PRICING FOR OTC'S, NOT EXTENDED CARE PRICING."
Data Entry,Billing Error,OTC WAS CASHED OUT. UHC PAYS.
Pharmacist,Procedure,STOP DATE
Data Entry,HOA/FREQUENCY/FILL LIST,"
"
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY.
Billing,Charge Account/Matrix,THE INSURANCE PROFILE AND BILLING MATRIX SCREENS WERE NOT CORRECT FOR UHC PLAN AHCCCS.
Fulfillment CF,Procedure (FF),should be 1/2 tabs
Fulfillment CF,Procedure (FF),should be 1/2 tabs
Fulfillment PA,Label Issue,needs multi-dose label on cassette
Fulfillment SYNMED,Packaging,hair in #19
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Extra/Missing Pill(s),jumper
Billing,Charge Account/Matrix,"THE INSURANCE PROFILE AND BILLING MATRIX FOR UHC PLAN AHCCCS WAS INCORRECT. IT LOOKS LIKE IT WAS FIXED, AND SOMEONE WENT IN AND SET IT UP WRONG. TRAINING REALLY NEEDS TO TAKE PLACE ON THIS PLAN. IT IS SUPPOSED TO BE SET UP AND HAVE ALL OF THE SAME RULES AS UNIVERSITY FAMILY CARE"
Data Entry,Document Error,WRONG DOCUMENT CHOSEN FOR A DAILY MED
